"year","litres_of_milk","kg_of_bread"
2006,1431.93,1282.69
2007,1417.23,1172.12
2008,1329.30,1041.71
2009,1570.21,1255.85
2010,1564.09,1363.37
2011,1453.31,1185.90
2012,1405.48,1153.34
2013,1345.88,1125.83
2014,1289.81,1160.83
2015,1401.08,1220.02
2016,1585.84,1303.93
2017,1547.56,1248.55
2018,1639.01,1340.14
